,X.2,name,Cores,Frequency_GHz,Turbo_1core,L2_MiB,L3_MiB,TDP_W,Launched,Price,GPU_Frequency_MHz,Memory,Mobile,HPC_or_server,Firm,Transistors,Die_size,Desktop.x,Model,Process_nm,Threads,MaxMemoryGiB,Turbo_2core,Turbo_3core,Turbo_4core,Turbo_Max,GPU,GPU_Turbo_MHz,date,price,X,Type,Release.Date,Process.Size..nm.,TDP..W.,Die.Size..mm.2.,Transistors..million.,Freq..MHz.,Foundry,Vendor,FP16.GFLOPS,FP32.GFLOPS,FP64.GFLOPS,Desktop.y,Server,Desktop,Density,Speed,Energy_efficiency,Dennard_l,Dennard_r,real_Price,real_price,log_Density,I(log_Density^2),log_Energy_efficiency,I(log_Energy_efficiency^2),log_Speed,I(log_Speed^2),log_L2_MiB,I(log_L2_MiB^2),log_Cores,I(log_Cores^2),Num_processors,HPC_or_server2
87367,87367,AMD Ryzen 5 3400G,4,3.7,NA,2,4,65,7/6/19,NA,NA,,NA,0,AMD,4940,210,1,3400G,12,8,NA,NA,NA,NA,4.2,,,7/6/19,149,753,CPU,7/7/19,12,65,210,4940,3700,GF,AMD,NA,NA,NA,1,0,1,23.52381,3.7,281.2,0,0,186.104,186.104,3.1580131,9.973046738,5.63906616,31.79906716,1.30833282,1.711734767,0.693147181,0.480453014,1.386294361,1.921812056,,0
87739,87739,AMD Ryzen 5 3500X,6,3.6,NA,3,32,65,5/12/21,NA,NA,,NA,0,AMD,3800,74,1,3500X,7,6,NA,NA,NA,NA,4.1,,,5/12/21,199.99,755,CPU,9/24/19,7,65,74,3800,3600,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.6,210.4615,NA,0,249.7915,249.7915,3.938691226,15.51328858,5.349302739,28.61503979,1.280933845,1.640791516,1.098612289,1.206948961,1.791759469,3.210401996,,0
88087,88087,AMD Ryzen 5 3600,6,3.6,NA,3,32,65,7/6/19,NA,NA,,NA,0,AMD,3800,74,1,3600,7,12,NA,NA,NA,NA,4.2,,,7/6/19,199,758,CPU,7/7/19,7,65,74,3800,3600,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.6,210.4615,0,0,248.555,248.555,3.938691226,15.51328858,5.349302739,28.61503979,1.280933845,1.640791516,1.098612289,1.206948961,1.791759469,3.210401996,,0
88375,88375,AMD Ryzen 5 3600X,6,3.8,NA,3,32,95,7/6/19,NA,NA,,NA,0,AMD,3800,74,1,3600X,7,12,NA,NA,NA,NA,4.4,,,7/6/19,249,759,CPU,7/7/19,7,95,74,3800,3800,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.8,152,0,0,311.006,311.006,3.938691226,15.51328858,5.023880521,25.23937549,1.335001067,1.782227848,1.098612289,1.206948961,1.791759469,3.210401996,,0
88541,88541,AMD Ryzen 5 3600XT,6,3.8,NA,3,32,95,6/30/20,NA,NA,,NA,0,AMD,3800,74,1,3600XT,7,12,NA,NA,NA,NA,4.5,,,6/30/20,249,760,CPU,7/7/19,7,95,74,3800,3800,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.8,152,0,0,311.006,311.006,3.938691226,15.51328858,5.023880521,25.23937549,1.335001067,1.782227848,1.098612289,1.206948961,1.791759469,3.210401996,,0
88884,88884,AMD Ryzen 7 1700,8,3,3.7,4,16,65,3/2/17,NA,NA,,NA,0,AMD,4800,192,1,1700,14,16,64,3.7,3.1,NA,NA,,,3/2/17,329.99,778,CPU,3/2/17,14,65,192,4800,3000,GF,AMD,NA,NA,NA,1,0,1,25,3,221.5385,0,0,412.1641,412.1641,3.218875825,10.36116158,5.400596389,29.16644136,1.098612289,1.206948961,1.386294361,1.921812056,2.079441542,4.324077125,,0
89712,89712,AMD Ryzen 7 1700X,8,3.4,3.8,4,16,95,3/2/17,NA,NA,,NA,0,AMD,4800,192,1,1700X,14,16,64,3.8,3.5,NA,NA,,,3/2/17,399.99,779,CPU,3/2/17,14,95,192,4800,3400,GF,AMD,NA,NA,NA,1,0,1,25,3.4,171.7895,0,0,499.5955,499.5955,3.218875825,10.36116158,5.14626989,26.48409378,1.223775432,1.497626307,1.386294361,1.921812056,2.079441542,4.324077125,,0
90302,90302,AMD Ryzen 7 1800X,8,3.6,4,4,16,95,2/26/17,NA,NA,,NA,0,AMD,4800,192,1,1800X,14,16,64,4,3.7,NA,NA,,,2/26/17,499.99,780,CPU,3/2/17,14,95,192,4800,3600,GF,AMD,NA,NA,NA,1,0,1,25,3.6,181.8947,0,0,624.4975,624.4975,3.218875825,10.36116158,5.203427948,27.07566241,1.280933845,1.640791516,1.386294361,1.921812056,2.079441542,4.324077125,,0
90740,90740,AMD Ryzen 7 2700,8,3.2,NA,4,16,65,4/18/18,NA,NA,,NA,0,AMD,4800,192,1,2700,12,16,NA,NA,NA,NA,NA,,,4/18/18,299.99,781,CPU,4/19/18,12,65,192,4800,3200,GF,AMD,NA,NA,NA,1,0,1,25,3.2,236.3077,0,0,374.6935,374.6935,3.218875825,10.36116158,5.465134769,29.86769805,1.16315081,1.352919806,1.386294361,1.921812056,2.079441542,4.324077125,,0
91448,91448,AMD Ryzen 7 2700X,8,3.7,NA,4,16,105,4/18/18,NA,NA,,NA,0,AMD,4800,192,1,2700X,12,16,NA,NA,NA,NA,NA,,,4/18/18,329.99,784,CPU,4/19/18,12,105,192,4800,3700,GF,AMD,NA,NA,NA,1,0,1,25,3.7,169.1429,0,0,412.1641,412.1641,3.218875825,10.36116158,5.13074392,26.32453317,1.30833282,1.711734767,1.386294361,1.921812056,2.079441542,4.324077125,,0
92144,92144,AMD Ryzen 7 3700X,8,3.6,NA,4,32,65,7/6/19,NA,NA,,NA,0,AMD,3800,74,1,3700X,7,16,NA,NA,NA,NA,4.4,,,7/6/19,329,788,CPU,7/7/19,7,65,74,3800,3600,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.6,210.4615,0,0,410.9276,410.9276,3.938691226,15.51328858,5.349302739,28.61503979,1.280933845,1.640791516,1.386294361,1.921812056,2.079441542,4.324077125,,0
92172,92172,AMD Ryzen 7 3800X,8,3.9,NA,4,32,105,7/6/19,NA,NA,,NA,0,AMD,3800,74,1,3800X,7,16,NA,NA,NA,NA,4.5,,,7/6/19,399,791,CPU,7/7/19,7,105,74,3800,3900,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.9,141.1429,0,0,498.359,498.359,3.938691226,15.51328858,4.949772852,24.50025129,1.360976553,1.852257178,1.386294361,1.921812056,2.079441542,4.324077125,,0
92284,92284,AMD Ryzen 7 3800XT,8,3.9,NA,4,32,105,7/24/20,NA,NA,,NA,0,AMD,3800,74,1,3800XT,7,16,NA,NA,NA,NA,4.7,,,7/24/20,399.99,792,CPU,7/7/20,7,105,74,3800,3800,TSMC,AMD,NA,NA,NA,1,0,1,51.35135,3.9,141.1429,0,0,499.5955,499.5955,3.938691226,15.51328858,4.949772852,24.50025129,1.360976553,1.852257178,1.386294361,1.921812056,2.079441542,4.324077125,,0
